Location	Movie Title	Date	Amenities
"
Dvorak Park, Chicago "	Despicable Me 2	June 20	
"
Murray Playground Park, Chicago "	Lee Daniels' The Butler	June 20	
"
DuSable Museum of African American History, Chicago "	Fat Albert 	June 21	
"
Ellis Park, Chicago "	Gravity 	June 21	
"
Hollywood Park, Chicago "	Back to the Future	June 21	
"
Homan Square Park, Chicago "	Lee Daniels' The Butler	June 22	
"
Revere Park, Chicago "	Patang	June 22	
"
Grant Park: Grove 5, Chicago "	High Anxiety	June 23	
"
Sherman Park, Chicago "	It's a Mad, Mad, Mad, Mad World	June 24	"
Family friendly activities and games."
"
Millennium Park, Chicago "	Ghostbusters	June 24	"
Special tribute to Chicago filmmaker Harold Ramis."
"
Buttercup Playlot Park, Chicago "	Beasts of the Southern Wild	June 24	
"
Fulton River Park, Chicago "	Gravity 	June 24	
"
Lake Shore Park, Chicago "	Happy Feet	June 24	
"
Portage Park, Chicago "	Monsters University 	June 25	"
Family friendly activities and games."
"
Chase Park, Chicago "	The Wizard of Oz	June 25	"
Family friendly activities and games you can play unless you're sca-sca-sca-sca-scared."
"
Mary Bartelme Park, Chicago "	Dirty Dancing	June 25	"
Plenty of corners to put babies in."
"
Kosciuszko Park, Chicago "	Gravity 	June 25	"
Selections from the International Latino Cultural Center."
"
Kenwood Community Park, Chicago "	Mandela: Long Walk to Freedom	June 26	
"
West Lawn Park, Chicago "	Cloudy with a Chance of Meatballs 2	June 26	
"
Wicker Park, Chicago "	Dr. Strangelove 	June 26	"
Wormhole Coffee."
"
Frank J. Wilson Park, Chicago "	To Kill a Mockingbird 	June 27	"
Family friendly activities and games that Atticus would totally approve of."
"
Athletic Field Park, Chicago "	Newsies	June 27	"
Family friendly activities and games."
"
Columbus Park, Chicago "	Michael Jackson's This is It	June 27	
"
Haas Park, Chicago "	Cloudy With a Chance of Meatballs 2 	June 27	
"
Osterman Beach, Chicago "	Gypsy 	June 27	
"
Oriole Park, Chicago "	Despicable Me 2	June 28	
"
Rutherford-Sayre Park, Chicago "	The Lego Movie	June 28	
"
Armour Square Park, Chicago "	Willy Wonka & the Chocolate Factory	June 28	
"
Taylor Park, Chicago "	Space Jam	June 29	"
A 1 in 10,000 chance that Bill Murray randomly shows up."
"
Paschen Park, Chicago "	Stanley Ka Dabba	June 29	
"
Jackson Park Grove 16, Chicago "	Jaws 	June 30	
"
Ridge Park, Chicago "	Jumanji 	June 30	
"
Millennium Park, Chicago "	Top Gun	July 1	"
Please be a volleyball tournament, please be a volleyball tournament, please be a volleyball tournament..."
"
Montgomery Ward Park, Chicago "	Captain Phillips	July 1	
"
Wentworth Park, Chicago "	Jurassic Park	July 1	"
Bathrooms where you won’t be eaten by T-Rex."
"
Kenwood Community Park, Chicago "	The Fantastic Mr. Fox 	July 2	
"
Moran Playground Park, Chicago "	42	July 2	
"
Woodhull Park, Chicago "	The Wiz	July 2	
"
Gross Park, Chicago "	Man of Steel 	July 5	"
Bathrooms for long, boring stretches of non-action."
"
Jonquil Playlot, Chicago "	Gravity 	July 5	
"
McKinley Park, Chicago "	Mr. Peabody & Sherman	July 6	
"
West Pulman Park, Chicago "	Life of Pi 	July 6	
"
Calumet Park, Chicago "	Saving Mr. Banks	July 7	"
Family friendly activities and games."
"
Cricket Hill, Chicago "	The Triplets of Belleville	July 7	
"
Nat King Cole Park, Chicago "	Despicable Me 2	July 7	
"
Dunbar Park, Chicago "	Hotel Transylvania	July 8	
"
Millennium Park, Chicago "	20 Feet from Stardom 	July 8	
"
Gompers Park, Chicago "	Cloudy with a Chance of Meatballs 2	July 8	
"
Hermitage Park, Chicago "	The Amazing Spider-Man	July 8	
"
Chicago History Museum, Chicago "	Ferris Bueller's Day Off	July 9	"
Hopefully a valet to leave your dad's A 1961 Ferrari GT California with."
"
Piotrowski Park, Chicago "	Happy Feet	July 9	"
Selections from the International Latino Cultural Center."
"
O'Hallaren Park, Chicago "	Gravity	July 10	"
Family friendly activities and games"
"
Maplewood Playlot Park, Chicago "	The Lego Movie	July 10	
"
Normandy Park, Chicago "	Gremlins 	July 10	
"
Wildwood Park, Chicago "	Free Birds	July 10	
"
Mayfair Park, Chicago "	The Nut Job	July 11	"
Family friendly activities and games."
"
Jefferson Memorial Park, Chicago "	Frozen 	July 11	"
Family friendly activities and games."
"
Independence  Park, Chicago "	The Avengers	July 11	"
Family friendly activities and games."
"
Dunham Park, Chicago "	Ghostbusters 	July 11	
"
Eugene Field Park, Chicago "	Despicable Me 2	July 11	
"
Holstein Park, Chicago "	Moonrise Kingdom	July 11	
"
Avondale Park, Chicago "	Rudy 	July 12	"
Park is dark enough that nobody will see you cry."
"
Brainerd Park, Chicago "	Mandela: Long Walk to Freedom	July 12	
"
Oz Park, Chicago "	Return to Me	July 12	
"
Douglas Park, Chicago "	Willy Wonka & the Chocolate Factory	July 13	
"
Emmerson Park, Chicago "	Despicable Me 2	July 13	
"
Lake Shore Park, Chicago "	The Monuments Men	July 13	
"
Mandrake Park, Chicago "	Beasts of the Southern Wild	July 14	
"
Pasteur Park, Chicago "	Cloudy with a Chance of Meatballs 2	July 14	
"
Millennium Park, Chicago "	O Brother, Where Art Thou? 	July 15	
"
Hermosa Park, Chicago "	Fast & Furious 6	July 15	"
Nearby parking for your muscle car."
"
Montgomery Ward Park, Chicago "	Chicago 	July 15	
"
Murray Playground Park, Chicago "	The Lorax	July 15	
"
Gompers Park, Chicago "	The Muppet Movie 	July 16	"
Family friendly activities and games."
"
Palmer Park, Chicago "	The Family that Preys	July 16	"
Family friendly activities and games."
"
Calumet Park, Chicago "	Fireproof	July 16	"
Selections from the International Latino Cultural Center."
"
Skinner Park, Chicago "	The Smurfs 2	July 16	
"
Armour Square Park, Chicago "	Singin' in the Rain	July 17	
"
Jackie Robinson Park, Chicago "	42	July 17	
"
Wicker Park, Chicago "	The Sandlot 	July 17	"
Wormhole Coffee, room for some serious long toss."
"
Brooks Park, Chicago "	The Smurfs 2 	July 18	
"
Fosco Park, Chicago "	Mandela: Long Walk to Freedom	July 18	
"
Ken-Well Park, Chicago "	Journey 2: The Mysterious Island	July 18	
"
DuSable Museum of African American History, Chicago "	42	July 19	
"
Ellis Park, Chicago "	Despicable Me 2	July 19	
"
Loyola Park, Chicago "	Captain Phillips	July 19	
"
Humboldt Park, Chicago "	The Book Thief	July 20	
"
Jonquil Playlot, Chicago "	Ghostbusters 	July 20	
"
Tuley Park, Chicago "	The Hunger Games: Catching Fire 	July 20	
"
Calumet Park, Chicago "	Buck and the Preacher	July 21	
"
Fulton River Park, Chicago "	Sixteen Candles	July 21	"
Plenty of trees to climb when impersonating Long Duk Dong."
"
Sheridan Park, Chicago "	The Little Rascals	July 21	
"
Millennium Park, Chicago "	Field of Dreams 	July 22	
"
Amundsen Park, Chicago "	Ride Along	July 22	
"
Hoyne Playground Park, Chicago "	Cloudy With a Chance of Meatballs 2 	July 22	
"
Smith Park, Chicago "	Ghostbusters	July 22	
"
Kilbourn Park, Chicago "	Annie 	July 23	"
Selections from the International Latino Cultural Center."
"
Mann Park, Chicago "	The Little Rascals	July 23	
"
Sumner Park, Chicago "	Ride Along	July 23	
"
Lincoln Park Zoo, Chicago "	Talladega Nights	July 24	"
After-hours zoo access and Lagunitas beer."
"
Athletic Field Park, Chicago "	The Perfect Game	July 24	"
Family friendly activities and games."
"
Fuller Park, Chicago "	Despicable Me 2	July 24	
"
Mary Bartelme Park, Chicago "	Star Trek: Into Darkness	July 24	
"
Rainey Park, Chicago "	Turbo 	July 24	
"
Altgeld Park, Chicago "	Drumline 	July 25	
"
Avalon Park, Chicago "	42	July 25	
"
Galewood Park, Chicago "	The Hunger Games: Catching Fire	July 25	
"
Hoard Playground Park, Chicago "	The Amazing Spider-Man	July 26	
"
Kennicott Park, Chicago "	Roll Bounce	July 26	
"
Paschen Park, Chicago "	Despicable Me 2	July 26	
"
Austin Town Hall Park, Chicago "	The Help	July 27	
"
Marquette Park, Chicago "	Life of Pi 	July 27	
"
Jackson Park Grove 16, Chicago "	Rebel Without a Cause	July 28	
"
Belmont Harbor, Chicago "	The Bachelor and the Bobby Soxer	July 28	
"
Russell Square Park, Chicago "	The Nut Job	July 28	"
Family friendly activities and games."
"
Daniel Webster Park, Chicago "	The Croods	July 29	
"
Montgomery Ward Park, Chicago "	Gravity 	July 29	
"
Millennium Park, Chicago "	This is Spinal Tap 	July 30	"
Presented with WBEZ's Sound Opinions."
"
Gladstone Park, Chicago "	The Wizard of Oz	July 30	"
Family friendly activities and games."
"
Portage Park, Chicago "	E.T.: The Extra-Terrestrial	July 30	"
Family friendly activities and games."
"
Touhy Park, Chicago "	The Muppet Movie	July 30	"
Family friendly activities and games."
"
Owens Park, Chicago "	Superman 	July 30	"
Family friendly activities and games."
"
Hermosa Park, Chicago "	Justin Bieber: Never Say Never	July 30	"
Selections from the International Latino Cultural Center."
"
Union Park, Chicago "	The Goonies	July 30	"
Open space for truffle shuffling."
"
Davis Square Park, Chicago "	Despicable Me 2	July 31	
"
Margate Park, Chicago "	Star Trek: Into Darkness	July 31	
"
Metcalfe Park, Chicago "	42	July 31	
"
Cragin Park, Chicago "	Despicable Me 2	August 1	
"
Dawes Park, Chicago "	Lee Daniels' The Butler	August 1	
"
Vittum Park, Chicago "	Epic	August 1	
"
Ada Park, Chicago "	42	August 2	
"
Jonquil Playlot, Chicago "	Mr. Peabody & Sherman	August 2	
"
Sauganash Park, Chicago "	The Nut Job	August 2	
"
Calumet Park, Chicago "	Jumanji 	August 3	
"
Lincoln Park Cultural Center, Chicago "	The Hunger Games	August 3	
"
Senka Park, Chicago "	Mr. Peabody & Sherman	August 3	
"
Indian Road Park, Chicago "	Space Jam	August 4	"
A 1 in 10,000 chance that Bill Murray randomly shows up."
"
Lake Meadows Park, Chicago "	Big Fish	August 4	
"
Millennium Park, Chicago "	The Birdcage 	August 5	
"
West Lawn Park, Chicago "	The Lego Movie	August 5	"
Family friendly activities and games that won't hurt like a mother when you step on them."
"
Grand Crossing Park, Chicago "	Lee Daniels' The Butler	August 5	
"
Heritage Green Park, Chicago "	Ghostbusters 	August 5	
"
Trebes Park, Chicago "	Cloudy With a Chance of Meatballs 2	August 5	
"
Loyola Park, Chicago "	Despicable Me 2	August 6	"
Selections from the International Latino Cultural Center."
"
Piotrowski Park, Chicago "	The Hunger Games: Catching Fire	August 6	
"
Austin-Foster Playlot Park, Chicago "	The Lego Movie	August 7	"
Family friendly activities and games that won't hurt like a mother when you step on them."
"
Augusta Park, Chicago "	Man of Steel	August 7	"
Bathrooms for long, boring stretches of non-action."
"
Rosedale Park, Chicago "	Man of Steel	August 7	"
Bathrooms for long, boring stretches of non-action."
"
Wicker Park, Chicago "	The Hunt for Red October	August 7	"
Wormhole Coffee, plenty of terrible Sean Connery impressions."
"
Jefferson Memorial Park, Chicago "	The Blues Brothers 	August 8	"
Family friendly activities and games, parking for AT LEAST a hundred smashed cop cars."
"
Independence  Park, Chicago "	The Lego Movie	August 8	"
Family friendly activities and games that won't hurt like a mother when you step on them."
"
Franklin Park, Chicago "	The Hunger Games: Catching Fire	August 8	
"
Harris Park, Chicago "	Cloudy with a Chance of Meatballs 2	August 8	
"
Wrightwood Park, Chicago "	The Goonies	August 8	"
Open space for truffle shuffling."
"
Eckhart Park, Chicago "	The Goonies	August 10	"
Open space for truffle shuffling."
"
Indian Boundary Park, Chicago "	Anna Karenina	August 10	
"
Rowan Park, Chicago "	The Goonies	August 10	"
Open space for truffle shuffling."
"
Cricket Hill, Chicago "	True Grit	August 11	
"
West Lawn Park, Chicago "	Turbo 	August 11	
"
Millennium Park, Chicago "	American Graffiti 	August 12	
"
Chippewa Park, Chicago "	Despicable Me 2	August 12	
"
Lawler Park, Chicago "	The Nut Job	August 12	
"
Montgomery Ward Park, Chicago "	The Blind Side	August 12	"
Plenty of adoptable 300lb teenagers."
"
Ogden Park, Chicago "	Are We There Yet?	August 13	
"
South Shore Cultural Center, Chicago "	Claudine 	August 13	
"
Graver Park, Chicago "	The Lego Movie	August 14	
"
Hamlin Park, Chicago "	Despicable Me 2	August 14	
"
J.P. Wilson Park, Chicago "	Roman Holiday	August 14	"
Lots of available seating for the elderly."
"
Norwood Park, Chicago "	Free Birds	August 15	"
Family friendly activities and games."
"
Roberts Square Park, Chicago "	The Nut Job	August 15	"
Family friendly activities and games."
"
Cornell Square Park, Chicago "	Mr. Peabody & Sherman 	August 15	
"
Jensen Park, Chicago "	Hotel Transylvania	August 15	
"
Stanton Park, Chicago "	Despicable Me 2	August 15	
"
DuSable Museum of African American History, Chicago "	Twenty Feet From Stardom	August 16	
"
Ellis Park, Chicago "	The Lego Movie	August 16	
"
Unity Playlot Park, Chicago "	Michael Jackson's This is It 	August 16	
"
Berger Park Cultural Center, Chicago "	The Thin Man	August 17	"
Lots of available seating for the elderly."
"
Piotrowski Park, Chicago "	The Wizard of Oz	August 17	
"
Calumet Park, Chicago "	The Muppet Movie	August 18	
"
Lake Shore Park, Chicago "	The Lego Movie	August 18	
"
Millennium Park, Chicago "	Dreamgirls 	August 19	
	(Editor's Note: be sure you're not confusing this movie with Showgirls)
"
Blackhawk Park, Chicago "	Instructions Not Included 	August 19	
"
Fulton River Park, Chicago "	Fast & Furious 6	August 19	"
Nearby parking for your muscle car."
"
Paschen Park, Chicago "	The Nut Job 	August 19	
"
Chicago History Museum, Chicago "	The Princess Bride	August 20	
"
Nichols Park, Chicago "	The Nut Job	August 20	
"
South Shore Cultural Center, Chicago "	Car Wash	August 20	
"
Lincoln Park Zoo, Chicago "	Harry Potter and the Sorcerer’s Stone	August 21	"
After-hours zoo access and Lagunitas beers that might double as Horcrux-es!"
"
Arrigo Park, Chicago "	Back to the Future	August 21	
"
Moore Park, Chicago "	Stomp the Yard 	August 21	"
Ample room for... stomping."
"
Pasteur Park, Chicago "	The Goonies	August 21	"
Open space for truffle shuffling."
"
Golden Gate Park, Chicago "	Man of Steel	August 22	"
Bathrooms for long, boring stretches of non-action."
"
Humboldt Park, Chicago "	The Benchwarmers	August 22	
"
Meyering Park, Chicago "	Ride Along	August 22	
"
Mayfair Park, Chicago "	The Lego Movie	August 23	"
Family friendly activities and games that won't hurt like a mother when you step on them."
"
Oz Park, Chicago "	The Wizard of Oz	August 23	
"
Hamilton Park, Chicago "	The Help	August 24	
"
Palmer Park, Chicago "	The Great Gatsby	August 24	
"
Grant Park: Grove 5, Chicago "	Indiana Jones and the Temple of Doom	August 25	"
You can shout “Kali Ma!” as loud as you want."
"
Shedd Park, Chicago "	The Amazing Spider-Man	August 25	
"
South Shore Cultural Center, Chicago "	The Great Gatsby	August 25	
"
Millennium Park, Chicago "	The Wizard of Oz 	August 26	
"
Emmerson Park, Chicago "	Star Trek: Into Darkness 	August 26	
"
Lake Shore Park, Chicago "	The Hunger Games: Catching Fire	August 26	
"
Montgomery Ward Park, Chicago "	The Lego Movie 	August 26	
"
Trebes Park, Chicago "	Willy Wonka & the Chocolate Factory	August 27	"
Family friendly activities and games."
"
Burnside Playlot, Chicago "	42	August 27	
"
South Shore Cultural Center, Chicago "	The Wiz	August 27	
"
Willye B. White Park, Chicago "	Cloudy with a Chance of Meatballs 2	August 27	
"
Holstein Park, Chicago "	The Goonies	August 28	"
Open space for truffle shuffling."
"
Mandrake Park, Chicago "	The Muppet Movie	August 28	
"
Chicago Women's Park & Gardens, Chicago "	The Lego Movie	August 28	
"
Athletic Field Park, Chicago "	Brave 	August 29	"
Family friendly activities and games."
"
Ping Tom Memorial Park, Chicago "	The Lego Movie	August 29	
"
Pottawattomie  Park, Chicago "	The Smurfs 2	August 29	
"
Veteran's Memorial Park, Chicago "	Despicable Me 2	August 29	
"
Horner Park, Chicago "	The Wizard of Oz	August 30	
"
Jonquil Playlot, Chicago "	The Hunger Games: Catching Fire	August 30	
"
La Follette Park, Chicago "	Cloudy with a Chance of Meatballs 2	August 30	
"
Lincoln Park Zoo, Chicago "	Best in Show	September 5	"
After-hours zoo access and Lagunitas beer."
"
Chopin Park, Chicago "	Ironman 3	September 13	"
Family friendly activities and games."
